SchoolID,SchoolName,SchoolCode,Email,Phone,PrincipalName,Address,BibRangeStart,BibRangeEnd
1106289,"GSBV, E-Block, Nand Nagri",1106289,1106289hos@gmail.com,,,,12076,13000
1106288,"GGSSS, MS Park No.1",1106288,1106288hos@gmail.com,,,,13001,13025
1106287,"SBV, MS Park No.2",1106287,sbv1106287@gmail.com,,,,13026,13050
1106285,"SKV, Janta Flat, Nand Nagri",1106285,1106285hos@gmail.com,,,,13051,13075
1106286,"GBSS, Old Seemapuri",1106286,hos1106286@gmail.com,,,,13076,14000
1106143,"Moti Ram Govt. (Aided) GSSS, Dilshad Garden Delhi 95",1106143,1106143hos@gmail.com,,,,7026,7050
1106266,"Mukherjee Mem. Govt. (Aided) BSSS, Dilshad Garden Delhi 95",1106266,1106266hos@gmail.com,,,,7051,7075
1106144,Nehru Mem. Govt (Aided) Co-ed Middle School,1106144,1106144hos@gmail.com,,,,7076,8000
1105208,Greenfield Public Sr. Sec. School,1105208,1105208hos@gmail.com,,,,8001,8025
1105215,St. Lawrence Public Sr. Sec. School,1105215,1105215hos@gmail.com,,,,8026,8050
1105233,Punchsheel Public Middle School,1105233,pgpsramnagar@gmail.com,,,,8051,8075
1106182,Kala Niketan Sr. Sec. Bal Vidyalaya,1106182,1106182hos@gmail.com,,,,8076,9000
1106183,Sri Ram Bal Bharti Public Middle School,1106183,1106183hos@gmail.com,,,,9001,9025
1106184,Abhinav Public Middle School,1106184,1106184hos@gmail.com,,,,9026,9050
1106185,Bal Convent Public Middle School,1106185,balconventpublicschool@gmail.com,,,,9051,9075
1106186,Mt. Everest Public Middle School,1106186,1106186hos@gmail.com,,,,9076,9100
1106187,St. Andrews Public School,1106187,1106187hos@gmail.com,,,,9101,9125
1106188,Saraswati Public Sec. School,1106188,1106188hos@gmail.com,,,,9126,9150
1106189,G P Public Middle School,1106189,gppublicschool@yahoo.com,,,,9151,9175
1106190,Tarawati Public Middle School,1106190,1106190hos@gmail.com,,,,9176,9200
1106191,Nutan VM P Sr. Sec. School,1106191,nutanvidyamandirsr.sec.school@gmail.com,,,,9201,9225
1106192,Dilshad Public Sec. School,1106192,1106192hos@gmail.com,,,,9226,9250
1106193,Lumbani Marigold Public Middle School,1106193,lumbnemarigoldpublicschool@gmail.com,,,,9251,9275
1106194,Flora Dale Sr. Sec. Public School,1106194,reception.desk@floradale.org,,,,9276,9300
1106195,Hansraj Smarak Sr. Sec. School,1106195,1106195hos@gmail.com,,,,9301,9325
1106196,The Samarth School,1106196,1106196hos@gmail.com,,,,9326,9350
1106197,Dev Public Middle School,1106197,1106197hos@gmail.com,,,,9351,9375
1106198,Shashi Public Sr. Sec. School,1106198,1106198HOS@gmail.com,,,,9376,9400
1106200,Sant Krishna Bodh Middle Public School,1106200,1106200hos@gmail.com,,,,9401,9425
1106201,St Krishna Bodh Shiksha Sadan,1106201,1106201hos@gmail.com,,,,9426,9450
1106202,Fair Child Public Sec. School,1106202,1106202hos@gmail.com,,,,9451,9475
1106203,New Creations Public School,1106203,1106203hos@gmail.com,,,,9476,9500
1106204,Monarch Public Middle School,1106204,1106204mpsk@gmail.com,,,,9501,9525
1106205,Oxford Modern Public School,1106205,oxfordkt4u@gmail.com,,,,9526,9550
1106206,Mukta Bharti Public School,1106206,Vanil9212@gmail.com,,,,9551,9575
1106207,Shiv Memorial Public School,1106207,ch.piyushchoudhary@gmail.com,,,,9576,9600
1106208,City Convent Sec. School,1106208,1106208ccss@gmail.com,,,,9601,9625
1106209,KV Vidhya Mandir,1106209,1106209hos@gmail.com,,,,9626,9650
1106210,Sonia Public School,1106210,1106210hos@gmail.com,,,,9651,9675
1106211,MBM International Middle Public School,1106211,1106211hos@gmail.com,,,,9676,9700
1106212,Maharana Pratap Model Public School,1106212,mpes1988@gmail.com,,,,9701,9725
1106213,Deep Public School,1106213,deeppublicschool@gmail.com,,,,9726,9750
1106214,Arvind Public School,1106214,arvindpublicschool93@gmail.com,,,,9751,9775
1106215,Raja Model School,1106215,1106215hos@gmail.com,,,,9776,9800
1106216,Red Rose Public School,1106216,1106216rrps@gmail.com,,,,9801,9825
1106218,Prabhu Atma Prakash Public School,1106218,1106218hos@gmail.com,,,,9826,9850
1106219,Yoga Way Public School,1106219,1106219hos@gmail.com,,,,9851,9875
1106222,Greenway Modern Sr. Sec. School,1106222,1106222hos@gmail.com,,,,9876,9900
1106226,DAV Public School,1106226,davps_lr@rediffmail.com,,,,9901,9925
1106227,Priya Adarsh Public School,1106227,1106227hos@gmail.com,,,,9926,9950
1106228,Sri Saraswati Vihar Public School,1106228,1106228hos@gmail.com,,,,9951,9975
1106229,Montreal Public School,1106229,Kumaranil11912@gmail.com,,,,9976,10000
1106232,N L Public Sr. Sec. School,1106232,Shivkumar934@gmail.com,,,,10001,10025
1106234,St. Marks Sr. Sec Public School,1106234,stmarksinfo@gmail.com,,,,10026,10050
1106235,The Samarth School,1106235,1106235hos@gmail.com,,,,10051,10075
1106255,Hindon Public Sec. School,1106255,1106255hos@gmail.com,,,,10076,11000
1106257,Aman Public School,1106257,Priya.sharma92@gmail.com,,,,11001,11025
1106260,Har Govind Secondary Public School,1106260,hgpsdelhi81@gmail.com,,,,11026,11050
1106262,Arwachin International School Dilshad Garden,1106262,info_ais@arwachininternationalschool.com,,,,11051,11075
1106267,Indian Cambridge Public School,1106267,1106267hos@gmail.com,,,,11076,12000
1106268,Lucky Public School,1106268,luckypublicschoolhv@gmail.com,,,,12001,12025
1106269,Gyan Sarovar Public School,1106269,1106269hos@gmail.com,,,,12026,12050
1106280,Queen Global International School,1106280,gis.delhi@yahoo.com,,,,14001,14025
1106270,Samrat Prithviraj Chauhan Public School,1106270,sprc1106270@gmail.com,,,,14026,14050
1106271,R.B. Convent School,1106271,1106271hos@gmail.com,,,,14051,14075
1106272,Rajiv Public School,1106272,1106272hos@gmail.com,,,,14076,15000
1106273,Dharam Public School,1106273,dharampublicschool123@gmail.com,,,,15001,15025
1106274,Nandlal Modern Public School,1106274,1106274hos@gmail.com,,,,15026,15050
1106275,Ankur Convent Public School,1106275,ankurconventpublicschool199@gmail.com,,,,15051,15075
1106276,Bloomfield Public School,1106276,1106276hos@gmail.com,,,,15076,16000
1106278,B.D. Memorial Public School,1106278,1106278hos@gmail.com,,,,16001,16025
1106292,Mount Everest Public School,1106292,1106292hos@gmail.com,,,,16026,16050
1106294,Gyan Jyoti Modern Public School,1106294,1106294hos@gmail.com,,,,16051,16075
1106295,Deep Bharti Public School,1106295,1106295hos@gmail.com,,,,16076,16100
